model_name,time_s,command_vy,command_wz,terminated,torque_ankle_L_joint,torque_ankle_R_joint
Ours,6.18,-1.0,0.0,0.0,5.284006118774414,-7.307734489440918
Ours,6.2,-1.0,0.0,0.0,6.797374725341797,-6.863009452819824
Ours,6.22,-1.0,0.0,0.0,6.099257946014404,-5.461059093475342
Ours,6.24,-1.0,0.0,0.0,5.4826884269714355,-5.362087726593018
Ours,6.26,-1.0,0.0,0.0,5.820714950561523,-5.206535339355469
Ours,6.28,-1.0,0.0,0.0,2.9395244121551514,-1.948045253753662
Ours,6.3,-1.0,0.0,0.0,7.414289951324463,-7.2897868156433105
Ours,6.32,-1.0,0.0,0.0,4.648703575134277,-4.773383140563965
Ours,6.34,-1.0,0.0,0.0,7.208378314971924,-7.151050567626953
Ours,6.36,-1.0,0.0,0.0,6.091851711273193,-4.882132530212402
Ours,6.38,-1.0,0.0,0.0,3.0977656841278076,-3.5391345024108887
Ours,6.4,-1.0,0.0,0.0,5.989989280700684,-7.445666790008545
Ours,6.42,-1.0,0.0,0.0,7.781633377075195,-5.836006164550781
Ours,6.44,-1.0,0.0,0.0,4.827561855316162,-5.82664155960083
Ours,6.46,-1.0,0.0,0.0,6.110138416290283,-3.6092529296875
Ours,6.48,-1.0,0.0,0.0,4.597213268280029,-5.394463539123535
Ours,6.5,-1.0,0.0,0.0,4.049617767333984,-4.5542192459106445
Ours,6.5200000000000005,-1.0,0.0,0.0,5.583664894104004,-5.65993070602417
Ours,6.54,-1.0,0.0,0.0,5.944087982177734,-6.318239212036133
Ours,6.5600000000000005,-1.0,0.0,0.0,4.591971397399902,-4.535372734069824
Ours,6.58,-1.0,0.0,0.0,5.2875237464904785,-4.21214485168457
Ours,6.6000000000000005,-1.0,0.0,0.0,6.156779766082764,-5.836761951446533
Ours,6.62,-1.0,0.0,0.0,5.791257858276367,-5.141056060791016
Ours,6.640000000000001,-1.0,0.0,0.0,5.02480936050415,-5.522308826446533
Ours,6.66,-1.0,0.0,0.0,5.055906295776367,-3.56797194480896
