model_name,time_s,command_vy,command_wz,terminated,torque_ankle_L_joint,torque_ankle_R_joint
Ours,4.5,-1.0,0.0,0.0,3.438877820968628,-2.8769195079803467
Ours,4.5200000000000005,-1.0,0.0,0.0,4.028350830078125,-3.4717650413513184
Ours,4.54,-1.0,0.0,0.0,3.9157824516296387,-1.2244091033935547
Ours,4.5600000000000005,-1.0,0.0,0.0,3.369670867919922,-2.866410732269287
Ours,4.58,-1.0,0.0,0.0,4.408226490020752,-5.257902145385742
Ours,4.6000000000000005,-1.0,0.0,0.0,2.919828176498413,-3.1823368072509766
Ours,4.62,-1.0,0.0,0.0,4.723709583282471,-5.697117328643799
Ours,4.64,-1.0,0.0,0.0,3.2119176387786865,-3.819645643234253
Ours,4.66,-1.0,0.0,0.0,6.1016459465026855,-7.733013153076172
Ours,4.68,-1.0,0.0,0.0,2.8409252166748047,-7.582289695739746
Ours,4.7,-1.0,0.0,0.0,4.897561073303223,-4.197386741638184
Ours,4.72,-1.0,0.0,0.0,4.658003330230713,-5.9524922370910645
Ours,4.74,-1.0,0.0,0.0,4.211656093597412,-8.709098815917969
Ours,4.76,-1.0,0.0,0.0,5.005130290985107,-4.838234901428223
Ours,4.78,-1.0,0.0,0.0,4.150467872619629,-2.857243061065674
Ours,4.8,-1.0,0.0,0.0,4.134908676147461,-8.612236976623535
Ours,4.82,-1.0,0.0,0.0,5.938372611999512,-2.648913860321045
Ours,4.84,-1.0,0.0,0.0,5.3178887367248535,-4.045738697052002
Ours,4.86,-1.0,0.0,0.0,4.2516326904296875,-6.920450687408447
Ours,4.88,-1.0,0.0,0.0,6.703961372375488,-7.102941036224365
Ours,4.9,-1.0,0.0,0.0,4.709991931915283,-5.102851390838623
Ours,4.92,-1.0,0.0,0.0,3.9745960235595703,-3.0574393272399902
Ours,4.94,-1.0,0.0,0.0,5.150595664978027,-7.782897472381592
Ours,4.96,-1.0,0.0,0.0,3.774390935897827,-3.762718439102173
Ours,4.98,-1.0,0.0,0.0,4.5607218742370605,-8.307887077331543
Ours,5.0,-1.0,0.0,0.0,6.724518775939941,-2.1850805282592773
Ours,5.0200000000000005,-1.0,0.0,0.0,4.127391338348389,-5.039519309997559
Ours,5.04,-1.0,0.0,0.0,5.949796676635742,-8.15167236328125
Ours,5.0600000000000005,-1.0,0.0,0.0,4.653152942657471,-4.622023105621338
Ours,5.08,-1.0,0.0,0.0,6.232817649841309,-7.060904502868652
Ours,5.1000000000000005,-1.0,0.0,0.0,4.857069969177246,-2.4076576232910156
Ours,5.12,-1.0,0.0,0.0,5.0785017013549805,-4.595063209533691
Ours,5.14,-1.0,0.0,0.0,3.8137753009796143,-2.697230815887451
Ours,5.16,-1.0,0.0,0.0,4.051595211029053,-7.249492168426514
Ours,5.18,-1.0,0.0,0.0,4.40583610534668,-4.406388282775879
Ours,5.2,-1.0,0.0,0.0,4.242208480834961,-4.200872421264648
Ours,5.22,-1.0,0.0,0.0,5.572847843170166,-7.221891403198242
Ours,5.24,-1.0,0.0,0.0,5.924785614013672,-7.835507392883301
Ours,5.26,-1.0,0.0,0.0,4.385967254638672,-3.2282209396362305
Ours,5.28,-1.0,0.0,0.0,3.779212474822998,-4.739810943603516
Ours,5.3,-1.0,0.0,0.0,4.85789155960083,-6.895497798919678
Ours,5.32,-1.0,0.0,0.0,5.37278413772583,-4.059727191925049
Ours,5.34,-1.0,0.0,0.0,5.232142448425293,-3.146310329437256
Ours,5.36,-1.0,0.0,0.0,6.644618034362793,-8.498685836791992
Ours,5.38,-1.0,0.0,0.0,6.817256450653076,-7.0559868812561035
Ours,5.4,-1.0,0.0,0.0,8.456439971923828,-5.691007614135742
Ours,5.42,-1.0,0.0,0.0,6.518562316894531,-6.291359901428223
Ours,5.44,-1.0,0.0,0.0,7.257564544677734,-7.72044038772583
Ours,5.46,-1.0,0.0,0.0,4.027246475219727,-2.308475971221924
Ours,5.48,-1.0,0.0,0.0,5.253268241882324,-6.3101654052734375
Ours,5.5,-1.0,0.0,0.0,4.682862281799316,-7.2088165283203125
Ours,5.5200000000000005,-1.0,0.0,0.0,5.052693843841553,-5.331429481506348
Ours,5.54,-1.0,0.0,0.0,5.172570705413818,-6.590547561645508
Ours,5.5600000000000005,-1.0,0.0,0.0,4.3372883796691895,-3.8731822967529297
Ours,5.58,-1.0,0.0,0.0,5.805553436279297,-5.437594413757324
Ours,5.6000000000000005,-1.0,0.0,0.0,6.6444549560546875,-5.283392906188965
Ours,5.62,-1.0,0.0,0.0,4.866458415985107,-4.927563667297363
Ours,5.64,-1.0,0.0,0.0,6.651086807250977,-8.472990036010742
Ours,5.66,-1.0,0.0,0.0,5.646386623382568,-6.963770866394043
Ours,5.68,-1.0,0.0,0.0,6.61524772644043,-6.805727958679199
Ours,5.7,-1.0,0.0,0.0,5.512328147888184,-2.238860607147217
Ours,5.72,-1.0,0.0,0.0,4.447157859802246,-7.131904125213623
Ours,5.74,-1.0,0.0,0.0,3.2143449783325195,-8.035942077636719
Ours,5.76,-1.0,0.0,0.0,4.777973175048828,-1.3467535972595215
Ours,5.78,-1.0,0.0,0.0,3.3595330715179443,-5.078036785125732
Ours,5.8,-1.0,0.0,0.0,8.104692459106445,-6.507669448852539
Ours,5.82,-1.0,0.0,0.0,4.378546237945557,-4.254680633544922
Ours,5.84,-1.0,0.0,0.0,2.329901695251465,-8.330011367797852
Ours,5.86,-1.0,0.0,0.0,5.265627384185791,-7.248204708099365
Ours,5.88,-1.0,0.0,0.0,2.761246681213379,-4.680027008056641
Ours,5.9,-1.0,0.0,0.0,6.957547187805176,-6.674257755279541
Ours,5.92,-1.0,0.0,0.0,4.984135627746582,-3.566709041595459
Ours,5.94,-1.0,0.0,0.0,7.195141792297363,-7.985107421875
Ours,5.96,-1.0,0.0,0.0,6.717720031738281,-6.829610824584961
Ours,5.98,-1.0,0.0,0.0,4.989720344543457,-1.4081454277038574
Ours,6.0,-1.0,0.0,0.0,4.850690841674805,-4.360132217407227
Ours,6.0200000000000005,-1.0,0.0,0.0,7.409305095672607,-5.430563449859619
Ours,6.04,-1.0,0.0,0.0,6.828808307647705,-5.050021648406982
Ours,6.0600000000000005,-1.0,0.0,0.0,6.333060264587402,-7.8697590827941895
Ours,6.08,-1.0,0.0,0.0,3.4105091094970703,-3.797980785369873
Ours,6.1000000000000005,-1.0,0.0,0.0,5.762496471405029,-7.9857563972473145
Ours,6.12,-1.0,0.0,0.0,6.464688301086426,-2.901181221008301
Ours,6.140000000000001,-1.0,0.0,0.0,5.895641803741455,-6.588719844818115
Ours,6.16,-1.0,0.0,0.0,4.937453269958496,-3.7304811477661133
Ours,6.18,-1.0,0.0,0.0,6.343424320220947,-5.534765243530273
Ours,6.2,-1.0,0.0,0.0,3.384287118911743,-3.5893516540527344
Ours,6.22,-1.0,0.0,0.0,4.057834625244141,-8.632566452026367
Ours,6.24,-1.0,0.0,0.0,5.897747993469238,-4.760540008544922
Ours,6.26,-1.0,0.0,0.0,7.385890007019043,-8.25796890258789
Ours,6.28,-1.0,0.0,0.0,7.231729507446289,-8.665095329284668
Ours,6.3,-1.0,0.0,0.0,5.897881507873535,-5.8351335525512695
Ours,6.32,-1.0,0.0,0.0,3.262136697769165,-4.556678771972656
Ours,6.34,-1.0,0.0,0.0,5.048520565032959,-5.629002571105957
Ours,6.36,-1.0,0.0,0.0,4.924742698669434,-6.479578971862793
Ours,6.38,-1.0,0.0,0.0,3.1149468421936035,-7.828422546386719
Ours,6.4,-1.0,0.0,0.0,6.751450538635254,-6.565464973449707
Ours,6.42,-1.0,0.0,0.0,3.917311429977417,-5.5964250564575195
Ours,6.44,-1.0,0.0,0.0,5.148800849914551,-4.622047424316406
Ours,6.46,-1.0,0.0,0.0,3.618960380554199,-7.211941242218018
Ours,6.48,-1.0,0.0,0.0,5.4253668785095215,-6.51184606552124
Ours,6.5,-1.0,0.0,0.0,4.492162704467773,-5.379820346832275
Ours,6.5200000000000005,-1.0,0.0,0.0,5.052299499511719,-5.821575164794922
Ours,6.54,-1.0,0.0,0.0,4.588424205780029,-4.530417442321777
Ours,6.5600000000000005,-1.0,0.0,0.0,6.53384256362915,-6.529097557067871
Ours,6.58,-1.0,0.0,0.0,3.8677220344543457,-7.518510341644287
Ours,6.6000000000000005,-1.0,0.0,0.0,3.638093948364258,-3.7628726959228516
Ours,6.62,-1.0,0.0,0.0,4.4573564529418945,-4.280491352081299
Ours,6.640000000000001,-1.0,0.0,0.0,3.6411798000335693,-8.100574493408203
Ours,6.66,-1.0,0.0,0.0,6.019665718078613,-5.427738189697266
Ours,6.68,-1.0,0.0,0.0,5.236327171325684,-8.253984451293945
Ours,6.7,-1.0,0.0,0.0,7.732114791870117,-8.728180885314941
Ours,6.72,-1.0,0.0,0.0,4.730783462524414,-4.210064888000488
Ours,6.74,-1.0,0.0,0.0,5.404308319091797,-10.446210861206055
Ours,6.76,-1.0,0.0,0.0,4.961813926696777,-5.991566181182861
Ours,6.78,-1.0,0.0,0.0,5.327399730682373,-6.784674167633057
Ours,6.8,-1.0,0.0,0.0,3.748373031616211,-2.3266563415527344
Ours,6.82,-1.0,0.0,0.0,7.469618797302246,-8.152215003967285
Ours,6.84,-1.0,0.0,0.0,6.095340251922607,-8.371932983398438
Ours,6.86,-1.0,0.0,0.0,4.346646308898926,-6.011063575744629
Ours,6.88,-1.0,0.0,0.0,4.687526226043701,-5.690328598022461
Ours,6.9,-1.0,0.0,0.0,5.018118858337402,-5.6578569412231445
Ours,6.92,-1.0,0.0,0.0,3.895312547683716,-3.0873398780822754
Ours,6.94,-1.0,0.0,0.0,4.615581512451172,-6.562232494354248
Ours,6.96,-1.0,0.0,0.0,4.367273330688477,-5.831355094909668
Ours,6.98,-1.0,0.0,0.0,2.739748477935791,-0.6449675559997559
Ours,7.0,-1.0,0.0,0.0,5.397214889526367,-4.607436656951904
Ours,7.0200000000000005,-1.0,0.0,0.0,3.5308244228363037,-2.1542859077453613
